train_contrastive_step,train_kl_step,train_latent_step,train_loss_step,train_recons_step,epoch,step,val_contrastive_step,val_kl_step,val_latent_step,val_loss_step,val_recons_step,val_contrastive_epoch,val_kl_epoch,val_latent_epoch,val_loss_epoch,val_recons_epoch,val_m2t/MedR_epoch,val_m2t/R01_epoch,val_m2t/R02_epoch,val_m2t/R03_epoch,val_m2t/R05_epoch,val_m2t/R10_epoch,val_m2t/len_epoch,val_t2m/MedR_epoch,val_t2m/R01_epoch,val_t2m/R02_epoch,val_t2m/R03_epoch,val_t2m/R05_epoch,val_t2m/R10_epoch,val_t2m/len_epoch,train_contrastive_epoch,train_kl_epoch,train_latent_epoch,train_loss_epoch,train_recons_epoch
2.684475898742676,7.601878643035889,1.2856457233428955,0.899976372718811,0.6314398646354675,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.927109718322754,8.415627479553223,1.3180532455444336,1.0687233209609985,0.7759150266647339,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8631012439727783,9.510514259338379,1.36055588722229,0.9722069501876831,0.685788094997406,0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.552496910095215,8.309938430786133,1.3269691467285156,1.0189342498779297,0.7635881900787354,0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9230363368988037,8.281001091003418,1.3710997104644775,1.0108675956726074,0.7184674739837646,0,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,2.8470840454101562,8.133626937866211,1.3168447017669678,1.0823923349380493,0.7975894212722778,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,2.6335432529449463,8.41097640991211,1.3484889268875122,1.048229455947876,0.7847775816917419,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,2.873552083969116,7.994197368621826,1.3616567850112915,0.8800066709518433,0.5925579071044922,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,2.865834951400757,8.108681678771973,1.3762872219085693,1.0490984916687012,0.7624201774597168,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,2.7649424076080322,8.079833030700684,1.366466760635376,0.9945976734161377,0.7180089950561523,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,2.697678804397583,8.214292526245117,1.369473934173584,0.9964144825935364,0.7265507578849792,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,2.812098503112793,8.007041931152344,1.3800077438354492,1.0383425951004028,0.7570388317108154,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,2.9592628479003906,8.20052719116211,1.3797607421875,0.9925802946090698,0.6965582370758057,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,2.7026376724243164,8.20046329498291,1.3785046339035034,0.9238783121109009,0.653518795967102,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,2.699082374572754,8.137163162231445,1.3454712629318237,0.9282745122909546,0.6582714319229126,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10,2.7008471488952637,7.981471061706543,1.3699531555175781,0.9552434682846069,0.6850652694702148,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11,2.7645323276519775,8.131559371948242,1.3487600088119507,0.9436801671981812,0.6671321988105774,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,12,2.923753499984741,8.098250389099121,1.3287241458892822,0.8899132013320923,0.5974435806274414,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,13,2.830610752105713,7.976086139678955,1.3239665031433105,0.9644938111305237,0.6813397407531738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,14,3.0228524208068848,8.039850234985352,1.3558233976364136,0.9195790886878967,0.6171998977661133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,2.430091381072998,8.034799575805664,1.3493003845214844,0.8574172854423523,0.6143143177032471,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,252,,,,,,2.7886273860931396,8.11048412322998,1.3563278913497925,0.9682404398918152,0.689283013343811,105.0,0.0,0.0,0.4000000059604645,1.9800000190734863,5.159999847412109,252.0,106.5,0.4000000059604645,0.4000000059604645,0.7900000214576721,2.7799999713897705,4.369999885559082,252.0,,,,,
,,,,,0,252,,,,,,,,,,,,,,,,,,,,,,,,,2.802323579788208,8.455263137817383,1.3429815769195557,1.0210373401641846,0.7407065033912659
2.9034953117370605,8.215705871582031,1.3749032020568848,0.9363265037536621,0.6458810567855835,1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
